Start_Date,REVENUE
2017-01-01,21287436.14
2017-01-08,20501369.84
2017-01-15,20420697.12
2017-01-22,14804524.02
2017-01-29,16357977.05
2017-02-05,21415433.70
2017-02-12,22172450.06
2017-02-19,22891096.48
2017-02-26,24535207.81
2017-03-05,21477902.54
2017-03-12,21991128.64
2017-03-19,22284818.48
2017-03-26,21620762.50
2017-04-02,22564418.82
2017-04-09,19593426.09
2017-04-16,23603928.89
2017-04-23,22999272.60
2017-04-30,19971116.16
2017-05-07,21238602.80
2017-05-14,23520878.04
2017-05-21,22213038.72
2017-05-28,23381916.91
2017-06-04,22650575.89
2017-06-11,21299858.13
2017-06-18,22030516.47
2017-06-25,19648483.21
2017-07-02,21315063.88
2017-07-09,23115731.66
2017-07-16,21691058.06
2017-07-23,22490351.90
2017-07-30,23680423.32
2017-08-06,18602657.93
2017-08-13,24511501.46
2017-08-20,21199774.45
2017-08-27,20688299.48
2017-09-03,20583413.40
2017-09-10,19782328.55
2017-09-17,21379362.91
2017-09-24,24419177.72
2017-10-01,23841899.87
2017-10-08,24394381.51
2017-10-15,21270220.89
2017-10-22,21705283.97
2017-10-29,23742635.42
2017-11-05,24209392.77
2017-11-12,22554585.03
2017-11-19,21002166.34
2017-11-26,23821960.13
2017-12-03,22581019.15
2017-12-10,22578848.21
2017-12-17,22484863.19
2017-12-24,19580389.54
2017-12-31,21309087.34
2018-01-07,27463486.73
2018-01-14,24722332.51
2018-01-21,24174883.83
2018-01-28,23695157.27
2018-02-04,22843481.17
2018-02-11,14743641.82
2018-02-18,20656024.80
2018-02-25,24415405.09
2018-03-04,26370659.24
2018-03-11,23157096.44
2018-03-18,26363960.32
2018-03-25,21883551.04
2018-04-01,25538601.83
2018-04-08,24658706.47
2018-04-15,23439170.39
2018-04-22,22153408.21
2018-04-29,23028971.82
2018-05-06,24641184.85
2018-05-13,26862668.09
2018-05-20,24949613.26
2018-05-27,22770447.19
2018-06-03,21891092.87
2018-06-10,21192047.01
2018-06-17,24022314.12
2018-06-24,25792608.56
2018-07-01,25906905.27
2018-07-08,25022431.73
2018-07-15,24562489.86
2018-07-22,24079545.67
2018-07-29,26052587.36
2018-08-05,20496776.75
2018-08-12,22641264.19
2018-08-19,21213517.54
2018-08-26,24260437.17
2018-09-02,21043551.35
2018-09-09,25253048.01
2018-09-16,24001357.41
2018-09-23,24152007.64
2018-09-30,25897611.91
2018-10-07,23692111.16
2018-10-14,23219536.32
2018-10-21,24589931.28
2018-10-28,26804162.06
2018-11-04,23528234.60
2018-11-11,25020324.19
2018-11-18,25525796.76
2018-11-25,25205250.15
2018-12-02,24812923.31
2018-12-09,22991661.18
2018-12-16,24143221.84
2018-12-23,20622687.38
2018-12-30,19869984.19
2019-01-06,29104384.99
2019-01-13,24973426.25
2019-01-20,22893390.32
2019-01-27,20419240.97
2019-02-03,13883749.55
2019-02-10,25702742.36
2019-02-17,25055339.60
2019-02-24,25958484.00
2019-03-03,25503407.95
2019-03-10,26069068.58
2019-03-17,25263200.69
2019-03-24,23672771.56
2019-03-31,24089853.00
2019-04-07,26117240.73
2019-04-14,23546606.33
2019-04-21,26266095.27
2019-04-28,26042919.18
2019-05-05,27868772.15
2019-05-12,26468022.03
2019-05-19,22721227.55
2019-05-26,26961255.60
2019-06-02,22460849.04
2019-06-09,26316612.68
2019-06-16,24196279.72
2019-06-23,28121033.64
2019-06-30,26753330.71
2019-07-07,27541426.67
2019-07-14,28916439.51
2019-07-21,27808778.89
2019-07-28,25700115.16
2019-08-04,20378537.80
2019-08-11,23201278.26
2019-08-18,26701783.00
2019-08-25,25418578.35
2019-09-01,25987351.85
2019-09-08,26010643.22
2019-09-15,25922843.30
2019-09-22,25748611.54
2019-09-29,27785052.87
2019-10-06,26223130.63
2019-10-13,27788568.26
2019-10-20,24992270.12
2019-10-27,22826614.86
2019-11-03,26941302.25
2019-11-10,26765677.47
2019-11-17,27290758.23
2019-11-24,26749709.96
2019-12-01,24781045.48
2019-12-08,24907845.08
2019-12-15,23903176.17
2019-12-22,19289834.49
